split,scope,scope_value,method,n,mae,rmse,bias,spearman,rank_mae,top_n_overlap,catastrophic_over_rate,catastrophic_under_rate
confirmation,value_tier,Q4,INDEPENDENT_PRODUCT,449,69.9908994205,88.4563653267,-9.28919346511,0.302351455603,8.64142538976,0.775173611111,0.0824053452116,0.158129175947
confirmation,value_tier,Q4,PAIRED_RESIDUAL_MEAN,449,70.0367374018,86.2364335414,-6.74432797944,0.298283499375,8.65478841871,0.777777777778,0.086859688196,0.155902004454
confirmation,value_tier,Q4,WR033_X_PREV_RATE,449,81.1384927465,104.339647837,44.2929920797,0.274346297065,8.78396436526,0.767361111111,0.271714922049,0.0534521158129
confirmation,value_tier,Q4,PRIOR_TOTAL_SCHEDULE_ADJUSTED,449,93.8767037862,120.557925971,69.0348329621,0.245112648333,9.04677060134,0.768229166667,0.336302895323,0.0289532293987
confirmation,value_tier,Q4,POSITION_MEAN_TOTAL,449,76.216024088,102.505701597,-44.3842661049,0.00738603153268,11.1625835189,0.740451388889,0,0.273942093541
confirmation,value_tier,D10,INDEPENDENT_PRODUCT,184,90.2979748766,107.855498759,-9.89646265616,0.206605010838,3.86956521739,1,0.195652173913,0.201086956522
confirmation,value_tier,D10,PAIRED_RESIDUAL_MEAN,184,89.0645199286,103.511529805,-7.85476403339,0.198644428823,3.9347826087,1,0.20652173913,0.195652173913
confirmation,value_tier,D10,WR033_X_PREV_RATE,184,100.532909447,127.319184936,53.7671192649,0.153512362342,3.97826086957,1,0.375,0.0869565217391
confirmation,value_tier,D10,PRIOR_TOTAL_SCHEDULE_ADJUSTED,184,117.094782609,148.756008983,93.2995652174,0.164505407701,4.08695652174,1,0.434782608696,0.0271739130435
confirmation,value_tier,D10,POSITION_MEAN_TOTAL,184,97.3826908002,124.740127008,-66.1886038531,0.00226735605212,4.41304347826,1,0,0.407608695652
confirmation,value_tier,WR_Q4,INDEPENDENT_PRODUCT,172,71.7487133567,86.4275367122,-9.71925300105,0.299211812788,11.8488372093,0.840277777778,0.104651162791,0.186046511628
confirmation,value_tier,WR_Q4,PAIRED_RESIDUAL_MEAN,172,72.3750965409,86.0444762127,-6.43706356563,0.29835476552,11.8720930233,0.840277777778,0.116279069767,0.18023255814
confirmation,value_tier,WR_Q4,WR033_X_PREV_RATE,172,78.064978359,100.722708447,46.0140838286,0.302382406195,11.7790697674,0.861111111111,0.261627906977,0.0348837209302
confirmation,value_tier,WR_Q4,PRIOR_TOTAL_SCHEDULE_ADJUSTED,172,94.0684883721,119.778577315,70.2438372093,0.229861943635,12.4302325581,0.854166666667,0.348837209302,0.0290697674419
confirmation,value_tier,WR_Q4,POSITION_MEAN_TOTAL,172,80.1588938367,105.550214817,-50.4052215335,-0.158734949576,15.2790697674,0.868055555556,0,0.313953488372
confirmation,fallback,False,INDEPENDENT_PRODUCT,1773,32.5129614332,53.1759996309,-1.97863230801,0.438308859637,29.5194585448,0.532986111111,0.0214326001128,0.058657642414
confirmation,fallback,False,PAIRED_RESIDUAL_MEAN,1773,34.8149996369,52.4865771379,2.64453656476,0.427942056066,29.6232374506,0.539930555556,0.0236886632826,0.0547095318669
confirmation,fallback,False,WR033_X_PREV_RATE,1773,41.4077955307,64.4099102072,23.0286055323,0.430395735611,29.1776649746,0.525173611111,0.0924985899605,0.0214326001128
confirmation,fallback,False,PRIOR_TOTAL_SCHEDULE_ADJUSTED,1773,42.7090806543,70.6934747733,25.9347997744,0.423192251506,29.0016920474,0.533854166667,0.104906937394,0.0174844895657
confirmation,fallback,False,POSITION_MEAN_TOTAL,1773,46.0996386623,63.0775514674,4.25077771809,0.0112255251255,38.027072758,0.169270833333,0,0.0846023688663
