split,scope,scope_value,model,n,mae,rmse,bias,spearman
confirmation,position,RB,POSITION_MEAN,452,5.359527277494136,6.053580062962944,0.32858550872791026,-0.04930007828678138
confirmation,position,WR,POSITION_MEAN,683,5.445097038499327,6.145301077782951,0.1679180754600778,-0.04230786820495565
confirmation,position,TE,POSITION_MEAN,380,5.400048121166315,6.096431610712939,-0.4523728344283266,0.028368427251746445
confirmation,season,2022,POSITION_MEAN,475,5.014230583063662,5.715759304623003,0.46686487057947645,-0.04252539912680663
confirmation,season,2023,POSITION_MEAN,446,5.302229172164997,5.987979711748446,0.23506272107877105,-0.05645510087759171
confirmation,season,2024,POSITION_MEAN,421,5.556232802933232,6.318573389904369,-0.6380519435785947,0.02417376642740314
confirmation,season,2025,POSITION_MEAN,431,4.985389189698291,5.778929603097889,0.21180902622994988,0.06229587988967764
confirmation,pooled,ALL,RIDGE_MINIMAL,1773,4.578765476179744,5.421258666440358,0.05467885201404413,0.36324262375608996
confirmation,position,QB,RIDGE_MINIMAL,258,3.6186468987794287,4.607440049476511,0.0794907568112395,0.2837201639061705
confirmation,position,RB,RIDGE_MINIMAL,452,4.67424181836146,5.4729188623283935,0.26571873593953926,0.4054898947555867
confirmation,position,WR,RIDGE_MINIMAL,683,4.833657388331084,5.6609764759676064,0.08576541944049781,0.35472569323658537
confirmation,position,TE,RIDGE_MINIMAL,380,4.65893418750548,5.430190345223689,-0.269067528312977,0.40860637726030213
confirmation,season,2022,RIDGE_MINIMAL,475,4.298184041692439,5.171017993775832,0.21765550178200335,0.3606004718274883
confirmation,season,2023,RIDGE_MINIMAL,446,4.6919091056182864,5.529261985012106,0.1604122716024783,0.34126103499181343
confirmation,season,2024,RIDGE_MINIMAL,421,4.796236428315262,5.633781748470281,-0.45022504323973433,0.4379949346497393
confirmation,season,2025,RIDGE_MINIMAL,431,4.558484389875396,5.365861305248391,0.2588401655305605,0.3132263142705792
confirmation,pooled,ALL,POISSON_MINIMAL,1773,4.628520256359617,5.4405670927335645,0.09750668244213467,0.35748006128369875
confirmation,position,QB,POISSON_MINIMAL,258,3.634382941584707,4.653632697495291,0.018930433603930805,0.2797295372938075
